기간	자치구	주택매매가격지수(2017.11=100.0)	주택매매가격지수(2017.11=100.0)
기간	자치구	종합	아파트
2011	강동구	96.96	91.35
2012	서울시	91.12	86.83
2012	종로구	94.27	92.61
2012	중구	92.30	90.99
2012	용산구	96.33	97.93
2012	성동구	90.60	85.64
2012	광진구	93.64	90.05
2012	동대문구	92.05	87.42
2012	중랑구	94.17	93.32
2012	성북구	94.44	92.39
2012	강북구	97.34	92.19
2012	도봉구	94.78	91.34
2012	노원구	87.16	85.77
2012	은평구	94.18	90.24
2012	서대문구	93.89	88.45
2012	마포구	90.40	87.66
2012	양천구	92.17	87.91
2012	강서구	91.23	84.48
2012	구로구	91.09	87.17
2012	금천구	93.99	87.95
2012	영등포구	90.29	87.43
2012	동작구	89.04	83.74
2012	관악구	91.88	85.39
2012	서초구	89.13	87.15
2012	강남구	83.78	80.07
2012	송파구	89.96	83.92
2012	강동구	87.03	82.65
2013	서울시	89.84	85.72
2013	종로구	93.89	91.99
2013	중구	91.86	90.00
2013	용산구	93.41	93.10
2013	성동구	88.95	85.10
2013	광진구	90.11	86.16
2013	동대문구	89.89	85.36
2013	중랑구	94.31	92.32
2013	성북구	92.74	89.63
2013	강북구	95.33	90.28
2013	도봉구	91.82	88.60
2013	노원구	85.77	84.50
2013	은평구	92.99	88.63
2013	서대문구	92.32	88.62
2013	마포구	90.21	87.13
2013	양천구	89.53	85.66
2013	강서구	89.90	83.64
2013	구로구	89.88	86.22
2013	금천구	92.43	86.99
2013	영등포구	88.37	84.93
2013	동작구	89.46	84.89
2013	관악구	92.01	86.64
2013	서초구	87.49	84.75
2013	강남구	82.98	79.21
2013	송파구	89.34	85.96
2013	강동구	86.64	82.34
2014	서울시	90.85	87.43
2014	종로구	94.12	92.20
2014	중구	92.95	91.19
2014	용산구	92.88	91.77
2014	성동구	89.97	87.27
2014	광진구	91.53	87.62
2014	동대문구	90.84	87.16
2014	중랑구	94.89	92.67
2014	성북구	93.38	90.57
2014	강북구	95.34	91.29
2014	도봉구	92.94	90.30
2014	노원구	88.07	87.17
2014	은평구	93.78	90.01
2014	서대문구	93.09	90.39
2014	마포구	91.75	89.99
2014	양천구	90.41	87.44
2014	강서구	89.32	84.22
2014	구로구	89.93	86.89
2014	금천구	92.83	88.48
2014	영등포구	89.69	87.01
2014	동작구	91.26	87.42
2014	관악구	92.26	87.28
2014	서초구	89.03	86.57
2014	강남구	85.23	81.99
2014	송파구	90.41	87.51
2014	강동구	88.25	84.51
2015	서울시	95.03	93.29
2015	종로구	96.13	94.44
2015	중구	95.66	95.13
2015	용산구	94.71	93.78
2015	성동구	95.11	94.60
2015	광진구	96.16	94.02
2015	동대문구	96.26	95.19
2015	중랑구	97.38	97.00
2015	성북구	96.33	95.25
2015	강북구	97.68	96.67
2015	도봉구	96.67	95.34
2015	노원구	94.59	93.92
2015	은평구	96.14	94.02
2015	서대문구	95.64	94.05
2015	마포구	94.40	93.33
2015	양천구	94.39	92.98
2015	강서구	93.72	90.97
2015	구로구	95.39	93.66
2015	금천구	95.83	93.69
2015	영등포구	93.90	92.57
2015	동작구	94.45	92.54
2015	관악구	95.18	92.12
2015	서초구	94.52	93.22
2015	강남구	91.91	89.98
2015	송파구	94.44	92.15
