Date의 연도,원달러환율 (Seoul),코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비서울집값,코스피대비송파구주택매매가격,코스피대비양천구주택매매가격,코스피대비은평구주택매매가격,코스피대비인천집값,코스피대비집값
2014,1033.2,,10.710312304,,,,,,
2014,1014,,10.036238288,,,,,,
2013,1055.4,,7.083066128,,,,,,
2013,1123.5,,6.448166032,,,,,,
2013,1110,,6.307372736,,,,,,
2013,1058.2,,5.733851072,,,,,,
2013,1142,,4.926624656,,,,,,
2013,1074.7,,4.683293424,,,,,,
2013,1060.7,,4.431188288,,,,,,
2013,1101,,1.940995008,,,,,,
2013,1129.7,,1.83615112,,,,,,
2013,1111,,0.034478784,,,,,,
2013,1083,,-0.301216240,,,,,,
2013,1089,,-0.860206240,,,,,,
2012,1082.9,,0.110479520,,,,,,
2012,1130,,-0.106597200,,,,,,
2012,1145,,-1.062426240,,,,,,
2012,1070.6,,-1.148331456,,,,,,
2012,1090.7,,-1.343206096,,,,,,
2012,1134,,-1.851000144,,,,,,
2012,1111.4,,-2.229079536,,,,,,
2012,1180,,-2.422725840,,,,,,
2012,1123,,-4.441268784,,,,,,
2012,1130,,-5.610011328,,,,,,
2012,1133,,-6.809312944,,,,,,
2012,1118,,-6.995966032,,,,,,
2011,1151,,-4.834590032,,,,,,
2011,1143,,-5.421897920,,,,,,
2011,1178.1,,-5.695902480,,,,,,
2011,1110,,-5.784465792,,,,,,
2011,1066.8,,-8.491799344,,,,,,
2011,1096.7,,-14.581720528,,,,,,
2011,1067.7,,-14.812522176,,,,,,
2011,1128.7,,-15.586808208,,,,,,
2011,1054.5,,-16.231086304,,,,,,
2011,1079.2,,-16.613977808,,,,,,
2011,1071.5,,-17.509182192,,,,,,
2010,1160,,-6.211984064,,,,,,
2010,1202.5,,-7.567114720,,,,,,
2010,1131.3,,-7.9046552,,,,,,
2010,1161.8,,-8.328458944,,,,,,
2010,1222.2,,-8.877246496,,,,,,
2010,1108.4,,-9.552809136,,,,,,
2010,1182.7,,-10.073923008,,,,,,
2010,1198.1,,-11.064039712,,,,,,
2010,1140.2,,-12.4267748,,,,,,
2010,1125.3,,-14.20794448,,,,,,
2010,1159.7,,-14.598542864,,,,,,
2010,1134.8,,-16.277396,,,,,,
2009,1534,,5.369583600,,,,,,
2009,1379.5,,5.246797392,,,,,,
2009,1383.5,,5.05177672,,,,,,
2009,1282,,0.430891360,,,,,,
2009,1273.9,,-1.629673216,,,,,,
2009,1255,,-1.6634792,,,,,,
2009,1228.5,,-3.377827152,,,,,,
2009,1162.8,,-5.917943248,,,,,,
2009,1248.9,,-6.276505744,,,,,,
2009,1182.5,,-7.317109424,,,,,,
2009,1164.5,,-7.424886976,,,,,,
2009,1178.1,,-8.05075288,,,,,,
2008,1469,,8.84343032,,,,,,
2008,1259.5,,6.801727840,,,,,,
2008,1291,,6.09367472,,,,,,
2008,1207,,-0.035171904,,,,,,
2008,1089,,-2.34981192,,,,,,
2008,1012.2,,-3.06511264,,,,,,
2008,990.4,,-5.23961416,,,,,,
2008,939,,-6.215939952,,,,,,
2008,943.9,,-7.303685936,,,,,,
2008,1046,,-7.862031728,,,,,,
2008,1002.6,,-8.230352672,,,,,,
2008,1030.1,,-10.1153652,,,,,,
2007,941,,-0.022913200,,,,,,
2007,940.9,,-0.555122208,,,,,,
2007,941.8,,-1.038305776,,,,,,
2007,930.8,,-2.530105408,,,,,,
2007,927.7,,-4.818489696,,,,,,
2007,923.8,,-8.063076352,,,,,,
2007,938.3,,-9.508204768,,,,,,
2007,915.1,,-11.136516752,,,,,,
2007,936.1,,-11.771459216,,,,,,
2007,919.3,,-11.964027904,,,,,,
2007,921.1,,-12.301849856,,,,,,
2007,900.7,,-14.32954472,,,,,,
2006,929.8,,-1.329765072,,,,,,
2006,929.5,,-1.450732912,,,,,,
2016,1199.1,,,,,,,5.119608195,
2016,1236.7,,,,,,,4.991899103,
2016,1169.1,,,,,,,4.453255525,
2016,1191.7,,,,,,,3.776170964,
2016,1151.8,,,,,,,3.754394269,
2016,1207.7,,,,,,,3.697861741,
2016,1143.5,,,,,,,3.46575095,
2016,1120.2,,,,,,,3.309059304,
2016,1144.5,,,,,,,3.090159969,
2016,1139.3,,,,,,,3.044268091,
2016,1114.8,,,,,,,2.776660518,
2016,1101.3,,,,,,,2.750237088,
2015,1172.5,,,,,,,3.472246619,
2015,1185.3,,,,,,,3.156861634,
2015,1182.5,,,,,,,2.578944365,
2015,1158.1,,,,,,,2.516920194,
2015,1140.1,,,,,,,1.821432211,
2015,1170,,,,,,,0.018750569,
2015,1115.5,,,,,,,-0.502530213,
2015,1108.2,,,,,,,-2.199842730,
2015,1072.4,,,,,,,-2.636349379,
2014,1099.3,,,,,,,-0.593493461,
2014,1068.5,,,,,,,-1.01213556,
2014,1107.9,,,,,,,-1.073192305,
2014,1064.7,,,,,,,-2.418484311,
2014,1067.5,,,,,,,-2.703497121,
2014,1020.1,,,,,,,-3.012019401,
2014,1011.8,,,,,,,-3.032375716,
2014,1033.2,,,,,,,-3.049021963,
2014,1055.2,,,,,,,-3.452977067,
2014,1027.9,,,,,,,-3.508138015,
2014,1014,,,,,,,-4.143389761,
2013,1123.5,,,,,,,-3.190126029,
2013,1142,,,,,,,-3.360972157,
2013,1110,,,,,,,-3.829889792,
2013,1055.4,,,,,,,-4.387738741,
2013,1101,,,,,,,-4.628138976,
2013,1089,,,,,,,-4.93995497,
2013,1058.2,,,,,,,-5.050362784,
2013,1129.7,,,,,,,-5.290322265,
2013,1083,,,,,,,-5.306031845,
2013,1074.7,,,,,,,-5.603313603,
2013,1060.7,,,,,,,-5.873774136,
2013,1111,,,,,,,-5.928665648,
2012,1123,,,,,,,2.797605023,
2012,1145,,,,,,,2.106353780,
2012,1130,,,,,,,1.974549025,
2012,1180,,,,,,,1.797458105,
2012,1118,,,,,,,0.192988529,
2012,1130,,,,,,,-0.150374984,
2012,1133,,,,,,,-0.439422457,
2012,1134,,,,,,,-0.600227807,
2012,1082.9,,,,,,,-1.89574019,
2012,1111.4,,,,,,,-2.008333733,
2012,1090.7,,,,,,,-2.199064663,
2012,1070.6,,,,,,,-3.977251368,
2011,1178.1,,,,,,,6.041660685,
2011,1110,,,,,,,4.893191124,
2011,1066.8,,,,,,,4.660443343,
2011,1143,,,,,,,3.887791240,
2011,1151,,,,,,,3.592866529,
2011,1096.7,,,,,,,2.504988041,
2011,1128.7,,,,,,,2.400702501,
2011,1067.7,,,,,,,0.762836472,
2011,1079.2,,,,,,,-0.149193799,
2011,1071.5,,,,,,,-0.719023701,
2011,1054.5,,,,,,,-1.153240662,
2010,1160,,,,,,,13.755564808,
2010,1131.3,,,,,,,12.32976565,
2010,1202.5,,,,,,,12.09832209,
2010,1161.8,,,,,,,12.072780168,
2010,1222.2,,,,,,,10.763217262,
2010,1108.4,,,,,,,10.741464967,
2010,1182.7,,,,,,,9.323679976,
2010,1198.1,,,,,,,8.258135614,
2010,1140.2,,,,,,,6.810253725,
2010,1125.3,,,,,,,5.125675310,
2010,1159.7,,,,,,,4.175491533,
2010,1134.8,,,,,,,2.40863075,
2009,1379.5,,,,,,,23.639250551,
2009,1534,,,,,,,23.395378925,
2009,1383.5,,,,,,,22.980379535,
2009,1282,,,,,,,18.78803783,
2009,1273.9,,,,,,,17.220815852,
2009,1255,,,,,,,17.10810615,
2009,1228.5,,,,,,,15.832515169,
2009,1162.8,,,,,,,14.287479881,
2009,1248.9,,,,,,,13.406617893,
2009,1182.5,,,,,,,13.177378103,
2009,1164.5,,,,,,,12.833892072,
2009,1178.1,,,,,,,12.259403235,
2008,1469,,,,,,,26.705321585,
2008,1259.5,,,,,,,25.02785727,
2008,1291,,,,,,,24.06793291,
2008,1207,,,,,,,18.321146288,
2008,1089,,,,,,,14.571439865,
2008,1012.2,,,,,,,12.48468208,
2008,1046,,,,,,,5.744060691,
2008,1030.1,,,,,,,0.945995025,
2008,1002.6,,,,,,,0.549576734,
2008,990.4,,,,,,,0.537253145,
2008,939,,,,,,,-1.685141981,
2008,943.9,,,,,,,-3.501390433,
2007,941,,,,,,,-6.036555225,
2007,940.9,,,,,,,-6.158723874,
2007,941.8,,,,,,,-6.528792453,
2007,930.8,,,,,,,-7.490792224,
2007,936.1,,,,,,,-8.380526523,
2007,927.7,,,,,,,-8.886849838,
2007,921.1,,,,,,,-9.727294068,
2007,938.3,,,,,,,-10.674104054,
2007,923.8,,,,,,,-11.172585556,
2007,915.1,,,,,,,-11.245691131,
2007,900.7,,,,,,,-12.735296035,
2007,919.3,,,,,,,-13.642734212,
2006,929.8,,,,,,,-8.784663591,
2006,929.5,,,,,,,-11.065390861,
2016,1169.1,,,2.411445475,,,,,
2016,1199.1,,,1.629743605,,,,,
2016,1207.7,,,1.540579099,,,,,
2016,1236.7,,,1.484794617,,,,,
